id;semester;kode_mk;mata_kuliah;sks;praktek;teori;kategori_mk;rps;;;;;;;;;created_at;update_at
1;1;MKN101;Pendidikan Agama;2;2;2;Wajib;Link;;;;;;;;;16/02/2025 20:01;16/02/2025 20:01
2;1;MKN103;Pancasila;2;2;0;Wajib;Link;;;;;;;;;17/02/2025 20:01;17/02/2025 20:01
3;1;MKU105;Bahasa Inggris;2;2;0;Wajib;Link;;;;;;;;;18/02/2025 20:01;18/02/2025 20:01
4;1;MFT101;Matematika I;3;3;0;Wajib;Link;;;;;;;;;19/02/2025 20:01;19/02/2025 20:01
5;1;MSN101;Fisika Dasar;3;3;3;Wajib;https://drive.google.com/file/d/1EAdUQlsbStHpzAH7Ih_erX49GudBnZdF/view?usp=drive_link;;;;;;;;;20/02/2025 20:01;20/02/2025 20:01
6;1;MSN103;Kimia Dasar;2;2;0;Wajib;Link;;;;;;;;;21/02/2025 20:01;21/02/2025 20:01
7;1;MSN105;Menggambar Teknik;2;2;0;Wajib;Link;;;;;;;;;22/02/2025 20:01;22/02/2025 20:01
8;1;MSN107;Pengenalan Teknik Mesin;2;2;0;Wajib;Link;;;;;;;;;23/02/2025 20:01;23/02/2025 20:01
9;1;MSN109;Material Teknik;2;2;2;Wajib;https://drive.google.com/file/d/1IcrVZQUYifwh8hfnsxIfrGc7aB9OBMgs/view?usp=sharing;;;;;;;;;24/02/2025 20:01;24/02/2025 20:01
10;2;MKN102;Bahasa Indonesia;2;2;0;Wajib;Link;;;;;;;;;25/02/2025 20:01;25/02/2025 20:01
11;2;MKN104;Pendidikan Kewarganegaraan;2;2;0;Wajib;Link;;;;;;;;;26/02/2025 20:01;26/02/2025 20:01
12;2;MFT102;Matematika II;3;3;0;Wajib;Link;;;;;;;;;27/02/2025 20:01;27/02/2025 20:01
13;2;MSN102;Pengantar Mesin Konversi;2;2;0;Wajib;Link;;;;;;;;;28/02/2025 20:01;28/02/2025 20:01
14;2;MSN104;Pengukuran Teknik;2;2;0;Wajib;Link;;;;;;;;;01/03/2025 20:01;01/03/2025 20:01
15;2;MSN106;Fisika Lanjut;3;2;2;Wajib;https://drive.google.com/file/d/1Kkj7DAQkUbMfJkLuNtPHbplqunOHDby5/view?usp=drive_link;;;;;;;;;02/03/2025 20:01;02/03/2025 20:01
16;2;MSN108;Gambar Mesin;2;1;1;Wajib;Link;;;;;;;;;03/03/2025 20:01;03/03/2025 20:01
17;2;MSN110;Metalurgi Fisik;2;2;2;Wajib;https://drive.google.com/file/d/1FYaiSRjxGDYR653wzMhoFPTM_Hf4-oc-/view?usp=drive_link;;;;;;;;;04/03/2025 20:01;04/03/2025 20:01
18;2;MSN112;Keselamatan, Kesehatan Kerja & Lingkungan;2;2;2;Wajib;https://drive.google.com/file/d/1VDeZvMp5jewmIMNtI1TbaKUdMzm12t-3/view?usp=sharing;;;;;;;;;05/03/2025 20:01;05/03/2025 20:01
19;3;MFT201;Statistika dan Probabilitas;2;2;0;Wajib;Link;;;;;;;;;06/03/2025 20:01;06/03/2025 20:01
20;3;PTM201;Mekanika dan Kekuatan Material;2;2;2;Wajib;https://drive.google.com/file/d/1Ke6RI8lpoXE_OwpHcKbt6cZ4xgBDIwqV/view?usp=drive_link;;;;;;;;;07/03/2025 20:01;07/03/2025 20:01
21;3;MSN203;Matematika III;2;2;0;Wajib;Link;;;;;;;;;08/03/2025 20:01;08/03/2025 20:01
22;3;MSN205;Elemen Mesin I;2;2;0;Wajib;Link;;;;;;;;;09/03/2025 20:01;09/03/2025 20:01
23;3;MSN207;Aplikasi Komputer;2;2;2;Wajib;https://drive.google.com/file/d/1F66E1CW9EjvZTVWW8vXdMiNBdNv9o_X4/view?usp=drive_link;;;;;;;;;10/03/2025 20:01;10/03/2025 20:01
