id;semester;kode_mk;mata_kuliah;sks;praktek;teori;kategori_mk;rps;;;;;;;;;created_at;update_at
1;1;MKN101;Pendidikan Agama;2;2;2;Wajib;https://drive.google.com/file/d/1r_w4LJzLPzhhA4GeCS38ERbjW_L40oiL/view?usp=drive_link;;;;;;;;;16/02/2025 19:57;16/02/2025 19:57
2;1;MKN103;Pancasila;2;2;2;Wajib;https://drive.google.com/file/d/1nTKhh8zBlEJZ8Z-YeHh_b2pdx4zX7mr9/view?usp=drive_link;;;;;;;;;17/02/2025 19:57;17/02/2025 19:57
3;1;MKN105;Bahasa Indonesia;2;2;2;Wajib;https://drive.google.com/file/d/1uAVCC3io6q-fWIovn00G-KRH4ozVZFSE/view?usp=drive_link;;;;;;;;;18/02/2025 19:57;18/02/2025 19:57
4;1;MFT101;Matematika I;3;3;3;Wajib;https://drive.google.com/file/d/1dyN-V0EjmETy8Lvzu-W_CsfnGAH5A0ow/view?usp=sharing;;;;;;;;;19/02/2025 19:57;19/02/2025 19:57
5;1;SPL101;Fisika Dasar;3;3;3;Wajib;https://drive.google.com/file/d/1irM4d9ncGIymqy-IRWJSjXB1_XUja6GF/view?usp=drive_link;;;;;;;;;20/02/2025 19:57;20/02/2025 19:57
6;1;SPL103;Kimia Dasar;2;2;2;Wajib;https://drive.google.com/file/d/1rG3Kqzb6i_A0bpPZi3gPHoafzRgD4Suy/view?usp=sharing;;;;;;;;;21/02/2025 19:57;21/02/2025 19:57
7;1;SPL105;Menggambar Bangunan Sipil;3;2;2;Wajib;https://drive.google.com/file/d/1CIUPCd9acWprHr6qYuhk8iNxCn6i96ji/view?usp=sharing;;;;;;;;;22/02/2025 19:57;22/02/2025 19:57
8;1;SPL107;Analisa Struktur I;3;3;3;Wajib;https://drive.google.com/file/d/1-6KfINfkyUzBprtAbexnead9MYCi2zQb/view?usp=drive_link;;;;;;;;;23/02/2025 19:57;23/02/2025 19:57
9;2;MKN102;Pendidikan Kewarganegaraan;2;2;2;Wajib;https://drive.google.com/file/d/1B46vTUM1piuCRFVkULfMwKt13y0BGaJJ/view?usp=drive_link;;;;;;;;;24/02/2025 19:57;24/02/2025 19:57
10;2;MKU102;Bahasa Inggris ;2;2;2;Wajib;https://drive.google.com/file/d/1ARYK89R7uCABpa8jB8NnhUf6a6XxuyCr/view?usp=drive_link;;;;;;;;;25/02/2025 19:57;25/02/2025 19:57
11;2;MFT102;Matematika II;3;3;3;Wajib;https://drive.google.com/file/d/1AeRLxZXgMtcGw3DlxHpaz_KkT4NAMO0C/view?usp=sharing;;;;;;;;;26/02/2025 19:57;26/02/2025 19:57
12;2;MFT104;Statistika dan Probabilitas;2;2;2;Wajib;https://drive.google.com/file/d/1WN83emlT2GykO90qQIGQMUaCrW9RkaJs/view?usp=drive_link;;;;;;;;;27/02/2025 19:57;27/02/2025 19:57
13;2;SPL102;Teknologi Bahan (*);2;2;2;Wajib;https://drive.google.com/file/d/1BOiiFRepR6scvENgh4WChS79a4mo-1Vp/view?usp=sharing;;;;;;;;;28/02/2025 19:57;28/02/2025 19:57
14;2;SPL104;Mekanika Bahan ;3;3;3;Wajib;https://drive.google.com/file/d/1yJboNOxF5Z6F841d93IiWDsc8nUb6ZA0/view?usp=sharing;;;;;;;;;01/03/2025 19:57;01/03/2025 19:57
15;2;SPL106;Mekanika Fluida;2;2;2;Wajib;https://drive.google.com/file/d/1jMDSwhHuKaO3XTB03dhTbaCp-ozk5dkk/view?usp=drive_link;;;;;;;;;02/03/2025 19:57;02/03/2025 19:57
16;2;SPL108;Bahan Perkerasan ;2;2;2;Wajib;https://drive.google.com/file/d/1SP8-UuHueA96mCICtI3Gnii8qtKyfda5/view?usp=drive_link;;;;;;;;;03/03/2025 19:57;03/03/2025 19:57
17;2;SPL110;Hidrologi;2;2;2;Wajib;https://drive.google.com/file/d/19Vpg362jeYZwF8P09nRW-TGmUb7yvww9/view?usp=drive_link;;;;;;;;;04/03/2025 19:57;04/03/2025 19:57
18;3;MKU201;Aplikasi Komputer;2;2;2;Wajib;https://drive.google.com/file/d/1qCbLCctcCTGDt80L5C5QckbZvtKCQVq4/view?usp=sharing;;;;;;;;;05/03/2025 19:57;05/03/2025 19:57
19;3;SPL201;Ilmu Ukur Tanah;2;1;1;Wajib;https://drive.google.com/file/d/1HyVxfmrjDdExbzTqDE1h9czS6HLcqCJe/view?usp=drive_link;;;;;;;;;06/03/2025 19:57;06/03/2025 19:57
20;3;SPL203;Hidrolika;2;2;0;Wajib;Link;;;;;;;;;07/03/2025 19:57;07/03/2025 19:57
21;3;SPL205;Matematika III;3;3;3;Wajib;https://drive.google.com/file/d/1_LfhTpx6_Iixmp2rORbtVlOUVl-6hy1s/view?usp=sharing;;;;;;;;;08/03/2025 19:57;08/03/2025 19:57
22;3;SPL207;Rencana Anggaran Biaya;2;2;0;Wajib;Link;;;;;;;;;09/03/2025 19:57;09/03/2025 19:57
23;3;SPL209;Mekanika Tanah I;2;2;2;Wajib;https://drive.google.com/file/d/1WDJ0UyTqZWXED1mm4OUHjnDeW-luzz40/view?usp=drive_link;;;;;;;;;10/03/2025 19:57;10/03/2025 19:57
24;3;SPL211;Analisa Struktur II;3;3;3;Wajib;https://drive.google.com/file/d/1EKAHbyJtUPu1K6CZW-xAcZywHvJVeMN-/view?usp=sharing;;;;;;;;;11/03/2025 19:57;11/03/2025 19:57
25;3;SPL213;Praktikum Teknologi Bahan ;1;0;1;Wajib;Link;;;;;;;;;12/03/2025 19:57;12/03/2025 19:57
26;3;SPL215;Praktikum Bahan Perkerasan ;1;0;1;Wajib;Link;;;;;;;;;13/03/2025 19:57;13/03/2025 19:57
27;3;SPL217;Rekayasa Irigasi                                           ;3;3;3;Wajib;https://drive.google.com/file/d/1mwe2Ze6FUcKUoAldqwpcYay645UTVFxz/view?usp=drive_link;;;;;;;;;14/03/2025 19:57;14/03/2025 19:57
28;3;SPL219;Geometri Jalan;2;2;2;Wajib;https://drive.google.com/file/d/1VHG71xV02A__SJo8LCjH-AumpchYdg_F/view?usp=drive_link;;;;;;;;;15/03/2025 19:57;15/03/2025 19:57
29;4;SPL202;Matematika IV;3;3;3;Wajib;https://drive.google.com/file/d/1mkwWSc0DQgPiqJ2YohSgyKxbkNLIBZ2_/view?usp=sharing;;;;;;;;;16/03/2025 19:57;16/03/2025 19:57
30;4;SPL204;Mekanika Tanah II;2;2;2;Wajib;https://drive.google.com/file/d/1WLqO2KaKd2QVGf35Da1ZesptLP3rWY_9/view?usp=drive_link;;;;;;;;;17/03/2025 19:57;17/03/2025 19:57
31;4;SPL206;Analisa Struktur III;2;2;2;Wajib;https://drive.google.com/file/d/1qfs9gpj7DYosfcmOIP7heLo0ie5DNRwb/view?usp=sharing;;;;;;;;;18/03/2025 19:57;18/03/2025 19:57
32;4;SPL208;Praktikum Mekanika Tanah;1;0;1;Wajib;Link;;;;;;;;;19/03/2025 19:57;19/03/2025 19:57
33;4;SPL210;Praktikum Hidrolika ;1;0;1;Wajib;Link;;;;;;;;;20/03/2025 19:57;20/03/2025 19:57
34;4;SPL212;Perancangan Bangunan Air;2;0;0;Wajib;https://drive.google.com/file/d/1SPUFFAAOzSYUvpS0StE_OaphTo9Rih-z/view?usp=drive_link;;;;;;;;;21/03/2025 19:57;21/03/2025 19:57
35;4;SPL214;Struktur Beton I;3;3;3;Wajib;https://drive.google.com/file/d/1J7aCc5lNETc7DHlqrkktIbkhJ6W_s8mj/view?usp=sharing;;;;;;;;;22/03/2025 19:57;22/03/2025 19:57
36;4;SPL216;Desain Pondasi I;2;2;2;Wajib;https://drive.google.com/file/d/1BB82fnR4KqtgP3mGBZdVinAN9VFMBvDe/view?usp=drive_link;;;;;;;;;23/03/2025 19:57;23/03/2025 19:57
37;4;SPL218;Struktur Baja I;3;3;3;Wajib;https://drive.google.com/file/d/1-ImJpDqmUFUAKdd5PpK0AR9WjOcb7e2j/view?usp=drive_link;;;;;;;;;24/03/2025 19:57;24/03/2025 19:57
38;4;SPL220;Struktur Kayu I;2;2;2;Wajib;https://drive.google.com/file/d/1-Dm8_GTkZ7WLAO3qKQJUnOJBdJkD45CK/view?usp=drive_link;;;;;;;;;25/03/2025 19:57;25/03/2025 19:57
39;4;SPL222;Rekayasa Gempa;2;2;0;Wajib;Link;;;;;;;;;26/03/2025 19:57;26/03/2025 19:57
40;5;SPL301;Drainase ;2;2;2;Wajib;https://drive.google.com/file/d/1dZ_3fpcGlwwzrKSwMqasof5sQ5gf_3lw/view?usp=drive_link;;;;;;;;;27/03/2025 19:57;27/03/2025 19:57
